SKU #,Product Name,Design Theme,Primary Colors,Keywords / Tags,Description Teaser,Description,Image Path
1,Rainbow Teddy Bear ,Kawaii,Rainbow,,,,gs://tipcat-product-designs/designs/rainbow_bear_pattern.png
2,Midnight Bat Puppy,Goth Kawaii,"Black, Deep Purple","Goth Dog, Bat Wings, Dark Academia Phone Case",A hauntingly cute companion for your late-night scrolls.,,gs://tipcat-product-designs/designs/gothic_cinnamonroll_coffee.png
3,The Entomologist’s Study,Vintage / Goth,"Sepia, Forest Green","Moth Art, Beetle Print, Nature Goth",A curated collection of forest finds for your everyday carry.,,gs://tipcat-product-designs/designs/Bug_pattern.png
4,Cinnamonroll Espresso,Coastal / Kawaii,Light Blue,"Cinnamoroll Style, Puppy Art, Minimalist Brown","A warm, cozy hug for your phone in espresso tones.",,gs://tipcat-product-designs/designs/blue_cinnamonroll_coffee_pattern.png
5,Miffy Pink Strawberry,Kawaii,"Pink, Red",,,,gs://tipcat-product-designs/designs/miffy_stawberry_patten.png
6,Nautical Toile Illustration,Vintage / Coastal,"White, Blue",,,,gs://tipcat-product-designs/designs/blue_nautical_pattern.png
7,Toile Floral Illustration ,Vintage / Floral,"White, Blue",,,,gs://tipcat-product-designs/designs/blue_toile.png
8,Blue Tortois Shell,Nature,"Blue, Black",,,,gs://tipcat-product-designs/designs/blue_turtle_shell.png
9,Floral Pattern,Vintage / Floral,"Red, Green, Yellow",,,,gs://tipcat-product-designs/designs/floral_vibrant_1.png
10,Orange Turtle Shell,Nature,"Orange, Black",,,,gs://tipcat-product-designs/designs/turtle_shell.png
11,Pink Floral Miffy ,Kawaii,"Pink, White",,,,gs://tipcat-product-designs/designs/miffy_pink_floral.png
12,Dark Purple Goth Floral,Goth / Floral,"Purple, Black",,,,gs://tipcat-product-designs/designs/purple_floral_1.png
13,Blue Polka Dot,Kawaii / Simple,"Blue, White",,,,gs://tipcat-product-designs/designs/blue_polkadot_pattern.png
14,Teal Hello Kitty Shell Mermaid ,Kawaii / Coastal,"Teal, Blue, Pink",,,,gs://tipcat-product-designs/designs/teal_iridescent_cat_pattern.png
15,Pompom Purin Melted Smiley,Kawaii / Y2K,"Yellow, Green",,,,gs://tipcat-product-designs/designs/pompom_matcha_pattern.png
16,Yellow Polka Dot,Pastl,"Yellow, White",,,,gs://tipcat-product-designs/designs/yellow_polkadot_pattern.png
17,Lilac Polka Dot,Pastel,"Purple, White",,,,gs://tipcat-product-designs/designs/purple_polkadot_pattern.png
18,Pink Polka Dot,Pastel,"Pink, White",,,,gs://tipcat-product-designs/designs/pink_polkadot_pattern.png
19,Peach Polka Dot,Pastel,"Peach, White",,,,gs://tipcat-product-designs/designs/peach_polkadot_pattern.png
20,Light Green Polka Dot,Pastel,"Green, White",,,,gs://tipcat-product-designs/designs/green_polkadot_pattern.png
21,Sage Green Polka Dot,Simple,"Sage, White",,,,gs://tipcat-product-designs/designs/forest_green_polkadot_pattern.png
22,Burgandy Polka Dot,Simple,"Burgandy, White",,,,gs://tipcat-product-designs/designs/burgandy_polkadot_pattern.png
23,Coffee Polka Dot,Simple,"Brown, White",,,,gs://tipcat-product-designs/designs/brown_polkadot_pattern_6.png
24,Cream Polka Dot,Simple,"Cream, Brown",,,,gs://tipcat-product-designs/designs/brown_polkadot_pattern_4.png
25,Cream Polka Dot 2,Simple ,"Cream, Brown",,,,gs://tipcat-product-designs/designs/brown_polkadot_pattern_4.png
26,Tan Polka Dot,Simple,"Tan, Brown",,,,gs://tipcat-product-designs/designs/brown_polkadot_pattern_2.png
27,Mocha Polka Dot,Simple,"Brown, Cream",,,,gs://tipcat-product-designs/designs/brown_polkadot_pattern_1.png
28,Pastel Blue Checkered,Simple,Blue,,,,gs://tipcat-product-designs/designs/blue_checker_pattern_1.png
29,Pastel Pink Checkered,Simple,Pink,,,,gs://tipcat-product-designs/designs/pink_checker_pattern_1.png
30,Pastel Green Checkered,Simple,Green,,,,gs://tipcat-product-designs/designs/green_checker_pattern_1.png
31,Pastel Blue Stripes,Simple,"Blue, White",,,,gs://tipcat-product-designs/designs/blue_pinstrips_pattern_1.png
32,Peach Stripes,Simple,"Peach, White",,,,gs://tipcat-product-designs/designs/peach_pinstrips_pattern_1.png
33,Lilac Stripes,Simple,"Lilac, White",,,,gs://tipcat-product-designs/designs/purple_pinstrips_pattern_1.png
34,Sage Green Stripes,Simple,"Sage, White",,,,gs://tipcat-product-designs/designs/sage_pinstrips_pattern_1.png
35,Stained Glass Mushroom,Cottagecore,"Green, Red",,,,gs://tipcat-product-designs/designs/stained_glass_cottagecore_1.png
36,Stained Glass Waves,Coastal,"Tan, Blue",,,,gs://tipcat-product-designs/designs/mosaic_beach_sand_wave.png
37,Stained Glass Stars and Moon,Celestial,"Purple, Gold",,,,gs://tipcat-product-designs/designs/stained_glass_celestial_moons.png
38,Coral,Coastal,"Green, Orange, Tan",,,,gs://tipcat-product-designs/designs/coral_reef.png
